2023-02-08T02:29,797760,GET /rate/get+thrashed+2006=4
2023-02-08T02:29:01,257576,GET /rate/the+lord+of+the+rings+the+two+towers+2002=5
2023-02-08T02:29:01,718137,GET /rate/bandits+silver+angel+1994=3
2023-02-08T02:29:01,670059,GET /rate/a+new+life+2002=4
2023-02-08T02:29:02,891666,GET /rate/lone+wolf+and+cub+white+heaven+in+hell+1974=4
2023-02-08T02:29:02,727830,GET /rate/harry+potter+and+the+deathly+hallows+part+2+2011=4
2023-02-08T02:29:03,792540,GET /rate/mr.+motos+gamble+1938=4
2023-02-08T02:29:03,273549,GET /rate/avatar+2009=4
2023-02-08T02:29:03,841859,GET /rate/the+spectacular+now+2013=4
2023-02-08T02:29:03,377743,GET /rate/kandahar+2001=2
2023-02-08T02:29:04,647047,GET /rate/the+princess+and+the+frog+2009=4
2023-02-08T02:29:04,657499,GET /rate/marina+abramovi+the+artist+is+present+2012=3
2023-02-08T02:29:04,582655,GET /rate/wintersleepers+1997=4
2023-02-08T02:29:04,62919,GET /rate/the+terminator+1984=3
2023-02-08T02:29:05,627011,GET /rate/curly+top+1935=3
2023-02-08T02:29:05,200057,GET /rate/the+shepherd+border+patrol+2008=3
2023-02-08T02:29:05,89898,GET /rate/hamlet+2+2008=3
2023-02-08T02:29:06,377478,GET /rate/walle+2008=5
2023-02-08T02:29:06,651904,GET /rate/fear+and+loathing+in+las+vegas+1998=3
2023-02-08T02:29:06,572924,GET /rate/fort+bliss+2014=3
2023-02-08T02:29:06,208118,GET /rate/wish+you+were+here+1987=4
2023-02-08T02:29:06,548805,GET /rate/hope+and+glory+1987=4
2023-02-08T02:29:07,123132,GET /rate/harry+potter+and+the+order+of+the+phoenix+2007=4
2023-02-08T02:29:07,460532,GET /rate/touch+of+pink+2004=4
2023-02-08T02:29:07,535093,GET /rate/ice+age+the+meltdown+2006=5
2023-02-08T02:29:07,84672,GET /rate/persona+1966=3
2023-02-08T02:29:08,166879,GET /rate/stage+beauty+2004=5
2023-02-08T02:29:08,134243,GET /rate/z.p.g.+1972=4
2023-02-08T02:29:08,579849,GET /rate/jack+frost+2+revenge+of+the+mutant+killer+snowman+2000=4
2023-02-08T02:29:09,311394,GET /rate/damnation+alley+1977=4
2023-02-08T02:29:09,811203,GET /rate/the+remains+of+the+day+1993=4
2023-02-08T02:29:09,717237,GET /rate/titanic+1997=3
2023-02-08T02:29:09,114950,GET /rate/raiders+of+the+lost+ark+1981=4
2023-02-08T02:29:10,658179,GET /rate/lemmy+2010=3
2023-02-08T02:29:10,615292,GET /rate/apollo+13+1995=3
2023-02-08T02:29:10,815892,GET /rate/whiplash+2014=3
2023-02-08T02:29:11,148829,GET /rate/man+in+the+saddle+1951=3
2023-02-08T02:29:11,192225,GET /rate/confessor+caressor+1989=4
2023-02-08T02:29:11,360857,GET /rate/kung+fu+hustle+2004=4
2023-02-08T02:29:11,83304,GET /rate/die+hard+1988=4
2023-02-08T02:29:12,795579,GET /rate/seven+samurai+1954=5
2023-02-08T02:29:12,332816,GET /rate/the+black+cauldron+1985=4
2023-02-08T02:29:12,3291,GET /rate/spirited+away+2001=4
2023-02-08T02:29:12,923556,GET /rate/aladdin+1992=4
2023-02-08T02:29:12,71619,GET /rate/the+hire+chosen+2001=4
2023-02-08T02:29:13,274447,GET /rate/pulp+fiction+1994=4
2023-02-08T02:29:14,182368,GET /rate/frozen+2013=4
2023-02-08T02:29:14,427423,GET /rate/lifeguard+1976=4
2023-02-08T02:29:14,689270,GET /rate/doomsday+prophecy+2011=4
2023-02-08T02:29:15,723828,GET /rate/finding+nemo+2003=4
2023-02-08T02:29:15,704068,GET /rate/the+client+1994=3
2023-02-08T02:24:17,591399,GET /rate/blue+sky+1994=3
2023-02-08T02:24:17,240480,GET /rate/a+charlie+brown+christmas+1965=3
2023-02-08T02:24:17,47766,GET /rate/la+haine+1995=3
2023-02-08T02:24:17,186273,GET /rate/the+terminator+1984=4
2023-02-08T02:24:18,456431,GET /rate/cinderella+2015=3
2023-02-08T02:24:18,904758,GET /rate/juno+and+the+paycock+1930=2
2023-02-08T02:24:18,747111,GET /rate/the+imitation+game+2014=5
2023-02-08T02:24:18,309717,GET /rate/cat+ballou+1965=4
